Name,ICO,Max,ROI
Syndicate,0.0,1.18528,N/A
Waves Community Token,0.0,5.25141,N/A
MktCoin,0.0,0.189545,N/A
FundRequest,0.48,0.263188,-45.16%
Eroscoin,0.0,0.195737,N/A
Spectiv,0.0,0.0633452,N/A
Fitrova,0.0,0.0222489,N/A
Auctus,0.26,1.22511,371.19%
Espers,0.0,0.00212747,N/A
HollyWoodCoin,0.0,24.8125,N/A
Travelflex,0.0,0.322486,N/A
Block Array,0.0,0.438658,N/A
Blue Protocol,0.0,2.04177,N/A
TransferCoin,0.0,4.24927,N/A
Circuits of Value,0.0,0.0451499,N/A
APX,0.0,21.3886,N/A
BitConnect,0.0,442.485,N/A
CanYaCoin,0.0,5.11564,N/A
Sequence,0.0,1.09388,N/A
FintruX Network,0.0,0.396292,N/A
JET8,0.0974,0.034735,-64.33%
Auroracoin,0.0,96.808,N/A
FedoraCoin,0.0,0.000163556,N/A
Kore,0.0,8.35159,N/A
GoByte,0.0,80.2606,N/A
BioCoin,0.0,0.0241239,N/A
Vice Industry Token,0.0,0.0394067,N/A
TrueFlip,0.0,5.35306,N/A
Target Coin,0.0,0.12547,N/A
CommerceBlock,0.0625,0.116596,86.55%
Publica,0.1,3.87331,3773.31%
AdHive,0.17,0.167871,-1.25%
DAO.Casino,0.0,0.332942,N/A
ArtByte,0.0,0.0464821,N/A
ATLANT,0.0,2.66587,N/A
Viuly,0.0,0.104526,N/A
Internet of People,0.0,11.5738,N/A
Anoncoin,0.0,11.9729,N/A
BitDice,0.0875,0.506852,479.25%
CHIPS,0.0,1.20857,N/A
Breakout Stake,0.0,2.80003,N/A
Monoeci,0.0,10.324,N/A
ClearPoll,0.0,10.4681,N/A
Universal Currency,0.0,1.82019,N/A
GeoCoin,0.0,18.3213,N/A
Titanium BAR,0.0,0.52895,N/A
BitStation,0.0,0.00759652,N/A
Tokes,0.0,9.65664,N/A
AMLT,0.39,0.0823378,-78.88%
Spectre.ai Utility Token,0.0,3.328,N/A
Zeitcoin,0.0,0.000673764,N/A
Colu Local Network,0.0,0.0655787,N/A
Haven Protocol,0.0,6.95091,N/A
HyperStake,0.0,0.0303058,N/A
Dether,0.23,0.182521,-20.64%
Opus,0.0,0.218739,N/A
EuropeCoin,0.0,1.16808,N/A
Bitcoin Plus,0.0,189.501,N/A
Bitmark,0.0,3.39384,N/A
Astro,0.0,5.45831,N/A
HOQU,0.22,0.0996629,-54.69%
REAL,0.0,2.52847,N/A
2GIVE,0.0,0.0380512,N/A
Aditus,0.05,0.0713155,42.63%
Peculium,0.0,0.00717561,N/A
Pure,0.0,6.04667,N/A
Pesetacoin,0.0,0.163638,N/A
Qwark,0.0,0.633007,N/A
vTorrent,0.0,1.36469,N/A
Sumokoin,0.0,10.128,N/A
Nullex,0.0,0.183692,N/A
B3Coin,0.0,0.107517,N/A
Sether,0.0,1.09074,N/A
ExclusiveCoin,0.0,3.77446,N/A
Crave,0.0,12.6283,N/A
Cryptopay,0.0,0.389735,N/A
FidentiaX,0.0,1.90902,N/A
NuBits,0.0,1.26411,N/A
HelloGold,0.0,0.349181,N/A
MaxCoin,0.0,2.76934,N/A
Memetic / PepeCoin,0.0,1.22207,N/A
Internxt,1.02,33.2445,3159.26%
Tokenbox,0.0,1.51483,N/A
Open Trading Network,0.0,55.3872,N/A
ClearCoin,0.0,0.0202128,N/A
Voise,0.0,0.167779,N/A
Monkey Project,0.0,22.6681,N/A
Hackspace Capital,0.0,0.156473,N/A
Neutron,0.0,0.988788,N/A
BitcoinZ,0.0,0.0235416,N/A
Karbo,0.0,2.06551,N/A
Iungo,0.0,0.479297,N/A
Photon,0.0,0.00092976,N/A
DopeCoin,0.0,0.257112,N/A
MyWish,0.21,3.00141,1329.24%
HEROcoin,0.0267,0.323703,1112.37%
Galactrum,0.0,18.3558,N/A
Hade Platform,0.0,0.140655,N/A
Sharechain,0.0,0.0162848,N/A
SpreadCoin,0.0,3.14431,N/A
Denarius,0.0,4.37775,N/A
Gatcoin,0.0,0.0918079,N/A
Education Ecosystem,0.0,0.051711,N/A
Blockpool,0.0,0.886343,N/A
BlockCAT,0.88,6.49778,638.38%
